PId,Pname,PCategory,QtySold,Price,Amount,Country
JA-1,Perfume2,Perfumes,4.0,1196.7,4786.8,Japan
JA-2,Perfume1,Perfumes,3.0,1952.9,5858.7,Japan
JA-3,Jeans1,Jeans,1.0,970.92,970.92,Japan
JA-4,Jeans5,Jeans,3.0,1124.2,3372.6,Japan
JA-5,Phone5,Smart Phone,2.0,1366.18,2732.36,Japan
JA-6,Perfume5,Perfumes,9.0,1073.9,9665.1,Japan
JA-7,,Water bottles,8.0,1557.93,12463.44,Japan
JA-8,Phone4,Smart Phone,2.0,1382.28,2764.56,Japan
JA-9,Tshirt1,Tshirts,3.0,895.05,2685.15,Japan
JA-10,Bottle5,Water bottles,6.0,1256.77,7540.62,Japan
JA-11,Shoes4,Shoes,7.0,933.48,6534.36,Japan
JA-12,Bottle6,Water bottles,9.0,1646.87,14821.83,Japan
JA-13,Phone2,Smart Phone,8.0,1277.23,10217.84,Japan
JA-14,Shoes4,Shoes,5.0,1249.2,6246.0,Japan
JA-15,Phone1,Smart Phone,2.0,926.66,1853.32,Japan
JA-16,Bottle3,Water bottles,9.0,888.51,7996.59,Japan
JA-17,Perfume3,Perfumes,7.0,1225.44,8578.08,Japan
JA-18,Phone6,Smart Phone,5.0,1508.67,7543.35,Japan
JA-19,Perfume5,Perfumes,8.0,1077.0,8616.0,Japan
JA-20,Perfume3,Perfumes,5.0,1478.48,7392.4,Japan
JA-21,Perfume5,Perfumes,9.0,849.8,7648.2,Japan
JA-22,Bottle3,Water bottles,,,,Japan
JA-23,Shoes3,Shoes,,,,Japan
JA-24,Phone1,Smart Phone,1.0,924.97,924.97,Japan
JA-25,Phone4,Smart Phone,3.0,1244.33,3732.99,Japan
JA-26,Perfume5,Perfumes,1.0,998.21,998.21,Japan
JA-27,Tshirt6,Tshirts,8.0,1579.28,12634.24,Japan
JA-28,Phone4,Smart Phone,9.0,950.28,8552.52,Japan
JA-29,Shoes6,Shoes,8.0,1424.34,11394.72,Japan
JA-30,Jeans4,Jeans,1.0,828.49,828.49,Japan
JA-31,,Jeans,5.0,1196.21,5981.05,Japan
JA-32,Bottle4,Water bottles,7.0,1430.84,10015.88,Japan
JA-33,Perfume6,Perfumes,2.0,1275.33,2550.66,Japan
JA-34,Phone1,Smart Phone,2.0,1808.98,3617.96,Japan
JA-35,Perfume4,Perfumes,7.0,1151.9,8063.3,Japan
JA-36,Shoes2,Shoes,10.0,1347.66,13476.6,Japan
JA-37,Shoes1,Shoes,2.0,1098.89,2197.78,Japan
JA-38,Perfume1,Perfumes,5.0,1675.51,8377.55,Japan
JA-39,Jeans1,Jeans,2.0,1428.56,2857.12,Japan
JA-40,Shoes3,Shoes,3.0,1090.8,3272.4,Japan
JA-41,Jeans2,Jeans,2.0,1022.95,2045.9,Japan
JA-42,Phone4,Smart Phone,10.0,1334.8,13348.0,Japan
JA-43,Perfume6,Perfumes,10.0,1190.57,11905.7,Japan
JA-44,Shoes2,Shoes,8.0,1327.13,10617.04,Japan
JA-45,Shoes5,Shoes,9.0,904.8,8143.2,Japan
JA-46,Tshirt1,Tshirts,5.0,907.72,4538.6,Japan
JA-47,Tshirt5,Tshirts,7.0,1350.66,9454.62,Japan
JA-48,Bottle1,Water bottles,10.0,1567.69,15676.9,Japan
JA-49,Phone5,Smart Phone,1.0,1336.67,1336.67,Japan
JA-50,Shoes6,Shoes,3.0,864.59,2593.77,Japan
